time (s),accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,baroTemp,baroPressure
0:00:00,-0.160064,-0.796416,-0.599996,-0.28,-1.26,-5.88,799,-305,1386,22.94768237,1008.136026
0:00:00,-0.15982,-0.79422,-0.60268,-0.14,-1.61,-6.09,817,-317,1403,22.94768237,1008.136026
0:00:00,-0.16226,-0.794708,-0.600728,-0.21,-1.33,-6.23,805,-335,1385,22.94768237,1008.136026
0:00:00,-0.16104,-0.797636,-0.601216,0.14,-1.47,-5.88,831,-341,1396,22.94768237,1008.136026
0:00:00,-0.161772,-0.793976,-0.60146,-0.07,-1.33,-6.09,813,-343,1420,22.94768237,1008.136026
0:00:00,-0.160308,-0.79544,-0.60024,-0.14,-1.33,-6.09,811,-343,1394,22.94768237,1008.136026
0:00:00,-0.162748,-0.793976,-0.599264,-0.07,-1.47,-5.74,835,-337,1370,22.94768237,1008.136026
0:00:00,-0.159332,-0.796904,-0.600972,-0.35,-1.47,-5.81,813,-333,1388,22.94768237,1008.136026
0:00:00,-0.160308,-0.793,-0.601216,-0.07,-1.19,-5.81,817,-337,1366,22.94768237,1008.136026
0:00:00,-0.15982,-0.796416,-0.598532,0.07,-1.05,-6.02,825,-327,1405,22.94768237,1008.136026
0:00:00,-0.161528,-0.795196,-0.60146,0.21,-1.26,-5.46,808,-327,1390,22.94768237,1008.136026
0:00:00,-0.160308,-0.79544,-0.601216,0.07,-1.4,-5.74,824,-329,1379,22.94768237,1008.136026
0:00:00,-0.16226,-0.795928,-0.599264,-0.07,-1.12,-5.95,814,-329,1394,22.94768237,1008.136026
0:00:01,-0.161284,-0.794952,-0.600728,0.07,-1.47,-5.81,783,-333,1358,22.94768237,1008.136026
0:00:01,-0.161528,-0.798368,-0.60024,0.28,-1.47,-5.67,817,-343,1378,22.94768237,1008.136026
0:00:01,-0.162992,-0.796904,-0.598532,-0.07,-1.26,-5.88,819,-343,1397,22.94768237,1008.136026
0:00:01,-0.161772,-0.796172,-0.599752,-0.42,-1.47,-5.88,820,-337,1394,22.96255972,1008.238977
0:00:01,-0.160064,-0.794952,-0.602192,0.14,-1.4,-5.74,833,-339,1386,22.96255972,1008.238977
0:00:01,-0.160796,-0.794952,-0.59902,0.21,-1.33,-6.09,825,-337,1374,22.96255972,1008.238977
0:00:01,-0.161528,-0.797636,-0.600728,-0.07,-1.68,-5.95,819,-361,1386,22.96255972,1008.238977
0:00:01,-0.163236,-0.793732,-0.600972,0.14,-1.47,-6.16,809,-353,1375,22.96255972,1008.238977
0:00:01,-0.15982,-0.79788,-0.599508,-0.28,-1.47,-5.6,793,-345,1391,22.96255972,1008.238977
0:00:01,-0.162016,-0.794464,-0.60024,-0.14,-1.47,-6.09,807,-335,1381,22.96255972,1008.238977
0:00:01,-0.160552,-0.796416,-0.603412,-0.14,-1.47,-6.09,831,-321,1387,22.96255972,1008.238977
0:00:01,-0.163236,-0.794708,-0.602436,-0.28,-1.05,-5.46,817,-343,1368,22.96255972,1008.238977
0:00:01,-0.160796,-0.794952,-0.602924,-0.14,-1.61,-5.95,803,-333,1389,22.96255972,1008.238977
0:00:01,-0.162748,-0.795928,-0.60268,0.14,-1.82,-5.88,815,-333,1380,22.96255972,1008.238977
0:00:01,-0.160064,-0.79544,-0.600972,0,-1.19,-5.81,823,-327,1418,22.96255972,1008.238977
0:00:01,-0.160796,-0.79544,-0.598532,-0.14,-1.26,-5.88,820,-323,1369,22.96255972,1008.238977
0:00:01,-0.162016,-0.79544,-0.599996,0,-1.33,-5.53,819,-337,1384,22.96255972,1008.238977
0:00:01,-0.160064,-0.795196,-0.60146,-0.28,-1.26,-6.02,827,-315,1403,22.96255972,1008.238977
0:00:01,-0.161528,-0.798612,-0.59902,0.21,-1.12,-5.67,815,-337,1392,22.96255972,1008.238977
0:00:01,-0.161528,-0.796904,-0.599996,0.07,-1.47,-5.6,815,-323,1399,22.96255972,1008.238977
0:00:01,-0.160308,-0.794708,-0.600484,0,-1.54,-5.32,827,-349,1401,22.96255972,1008.238977
0:00:01,-0.16104,-0.79788,-0.60268,0.14,-1.4,-5.6,827,-341,1406,22.96255972,1008.238977
0:00:01,-0.161284,-0.795196,-0.601948,-0.28,-1.33,-6.02,813,-327,1368,22.96255972,1008.238977
0:00:01,-0.163724,-0.796416,-0.602924,0,-1.47,-6.09,821,-327,1406,22.96255972,1008.238977
0:00:01,-0.161284,-0.797392,-0.597556,-0.28,-1.47,-5.67,825,-325,1378,22.96255972,1008.238977
0:00:02,-0.160796,-0.797148,-0.600972,0.14,-1.33,-5.67,817,-337,1369,22.96255972,1008.238977
0:00:02,-0.162748,-0.796172,-0.602192,0.07,-1.12,-5.53,815,-327,1369,22.96255972,1008.213275
0:00:02,-0.15982,-0.796416,-0.60024,0.21,-1.54,-5.74,811,-339,1386,22.96255972,1008.213275
0:00:02,-0.161284,-0.794952,-0.60024,-0.35,-1.47,-5.95,809,-347,1381,22.96255972,1008.213275
0:00:02,-0.163724,-0.798124,-0.60268,0.07,-1.4,-5.53,799,-339,1376,22.96255972,1008.213275
0:00:02,-0.159088,-0.79544,-0.600728,0.14,-1.33,-6.02,817,-325,1366,22.96255972,1008.213275
0:00:02,-0.15738,-0.791536,-0.570472,-1.61,-0.91,-4.9,789,-325,1362,22.96255972,1008.213275
